,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
80,3,5,2,1,6,4,8,2,1,3,7,2,5,2,4,2,2,7,4,4,7,5,5,1,3,1,4,3,3,6,4,6,7,6,6,7,7,8,3,1
81,3,6,4,5,6,4,8,6,5,7,7,6,4,7,1,8,4,3,1,2,5,2,5,3,2,4,4,2,6,3,4,2,4,5,1,2,2,3,4,4
82,2,7,2,3,4,1,1,7,5,6,4,7,5,6,6,8,6,6,3,6,4,7,1,8,2,8,4,1,5,7,4,8,7,4,4,5,4,4,8,1
83,5,2,6,2,4,4,2,2,3,1,3,1,5,5,4,3,3,6,4,7,5,5,6,8,5,5,8,3,6,3,1,6,8,2,1,2,8,4,2,6
84,4,4,6,5,7,5,8,4,4,1,4,1,6,7,4,8,6,7,1,1,7,5,4,6,8,5,4,8,8,8,1,1,4,7,5,4,2,7,4,2
85,7,1,8,4,3,2,3,4,5,1,1,1,6,2,7,8,3,3,6,2,5,7,4,2,1,3,2,2,5,2,6,6,6,6,3,1,7,5,4,7
86,1,8,8,1,4,1,8,4,4,2,7,4,1,6,3,6,7,2,4,3,5,1,8,1,4,1,4,6,3,7,4,2,1,2,5,8,8,3,4,2
87,4,1,4,1,4,1,4,5,1,2,4,8,4,5,3,5,4,2,6,4,8,5,4,3,3,7,6,7,3,8,8,4,7,1,4,4,5,2,4,4
88,2,7,4,6,6,4,5,5,5,2,2,4,3,3,2,4,4,4,2,4,7,1,4,3,6,4,4,1,6,5,2,6,2,8,5,3,8,8,7,3
89,3,3,4,6,1,8,1,7,3,2,2,3,8,7,3,8,4,4,2,1,6,2,3,7,6,2,1,3,1,5,4,4,3,3,1,6,7,3,1,4
90,3,5,6,3,1,4,4,7,4,5,5,6,7,2,1,2,4,6,4,8,6,4,1,8,2,4,8,8,4,5,3,6,6,1,3,5,1,2,3,2
91,2,7,5,8,7,8,6,1,2,7,2,8,3,1,6,7,3,8,8,8,8,2,6,5,7,4,8,3,3,1,6,2,3,1,3,8,2,4,6,5
92,1,8,6,7,8,1,6,2,4,6,1,1,8,6,8,4,8,5,6,1,6,2,3,4,2,8,6,5,4,1,5,8,7,6,2,2,1,1,8,4
93,2,7,6,1,8,7,4,4,8,6,8,6,2,2,3,6,2,5,1,6,7,7,2,7,3,5,3,4,2,4,6,8,4,1,4,6,4,6,3,7
94,6,2,5,7,8,6,5,8,4,5,8,8,2,3,6,2,5,3,6,7,2,7,8,2,4,2,7,3,7,1,8,1,6,6,6,7,7,4,8,7
95,2,2,4,1,8,4,8,3,3,2,4,8,7,5,4,7,3,6,1,4,4,3,5,2,5,1,1,1,8,6,8,6,6,1,7,3,6,8,2,5
96,6,7,2,3,6,8,3,8,8,3,6,6,1,3,1,4,7,2,1,8,7,6,4,3,6,2,4,6,7,5,8,5,1,7,5,3,8,6,8,6
97,4,8,3,2,8,5,5,1,4,7,7,5,4,1,2,6,4,4,3,3,1,6,2,6,6,4,5,4,8,3,4,2,8,6,4,4,2,3,6,4
98,4,1,3,2,6,8,5,1,1,3,6,7,6,7,6,1,2,5,5,1,1,2,3,2,3,2,5,8,4,6,2,8,8,1,7,8,7,2,6,7
99,1,6,5,6,6,2,6,1,4,4,6,5,2,5,5,7,7,8,4,3,8,6,6,5,5,4,1,5,6,7,7,4,2,1,3,8,7,8,2,3
100,3,1,1,3,4,8,1,1,3,4,4,3,8,2,5,4,5,7,7,7,7,1,5,7,1,2,8,7,4,4,8,7,1,4,5,1,4,1,8,5
101,1,4,8,8,2,5,6,7,1,7,7,8,2,1,1,1,4,3,4,3,7,3,6,2,1,6,2,7,7,2,3,1,8,2,8,8,1,5,7,6
102,8,2,2,6,5,7,3,4,3,4,1,6,2,8,8,4,6,8,8,4,8,4,7,4,8,6,7,8,6,3,3,3,7,2,7,2,4,5,5,3
103,2,4,1,6,6,1,3,7,1,3,7,3,5,5,1,3,4,2,5,7,6,4,8,4,2,6,8,2,2,7,2,2,3,3,5,1,4,8,4,4
104,5,7,1,4,6,2,2,8,3,4,2,2,7,1,1,7,8,6,7,4,6,7,5,6,4,2,6,3,3,6,8,7,2,2,3,1,1,3,1,1
105,5,4,5,3,5,7,1,5,6,7,4,3,2,8,3,4,1,1,2,8,2,5,7,5,8,1,6,8,7,6,6,5,8,5,2,1,2,5,4,1
106,3,7,5,1,7,8,2,8,3,5,1,5,6,4,7,2,2,6,6,4,5,3,4,3,5,7,6,8,5,6,5,2,4,5,3,5,3,1,7,2
107,4,5,7,2,1,3,7,6,3,3,7,8,1,6,8,6,8,3,4,2,3,5,5,6,7,8,7,6,8,6,4,8,1,2,3,1,4,3,6,8
108,8,2,6,3,4,2,5,2,4,7,6,7,4,6,6,4,4,3,2,2,1,3,4,8,6,3,5,8,8,6,4,3,7,2,3,5,4,1,4,1
109,2,8,4,3,2,4,4,6,2,7,2,6,1,8,7,8,5,7,3,7,6,3,5,7,2,6,3,3,8,5,5,7,6,4,7,3,2,8,3,3
110,1,7,6,7,5,5,8,5,4,2,8,2,5,3,7,6,8,2,6,6,8,5,6,7,3,2,3,1,5,3,2,4,7,6,7,5,2,3,2,7
111,6,2,3,1,5,3,4,5,1,8,2,4,8,2,5,4,6,4,8,8,3,2,8,5,7,3,3,7,5,2,4,1,8,6,5,3,4,1,1,1
112,3,3,3,7,6,3,7,1,3,2,7,5,8,1,5,4,3,4,7,4,2,1,6,2,2,5,1,8,1,1,3,6,6,2,6,8,1,4,7,7
113,1,6,4,3,2,6,7,1,6,7,5,3,5,2,6,8,3,2,6,5,6,2,1,3,1,1,3,7,2,8,4,4,1,3,3,2,8,3,3,8
114,8,1,1,3,5,4,7,6,1,6,6,2,5,2,5,7,4,6,3,2,8,1,2,7,7,6,4,3,3,3,5,4,8,1,2,4,5,7,3,3
115,2,5,8,2,4,8,1,6,3,3,2,8,6,6,7,6,2,6,6,6,3,2,7,8,2,6,4,8,1,4,8,1,4,4,6,7,1,1,7,6
116,1,6,3,8,1,7,6,8,3,6,5,5,8,4,1,1,4,3,4,1,2,8,8,1,4,3,5,7,2,2,3,3,2,6,1,7,7,6,5,8
117,8,7,8,3,5,3,8,1,5,6,3,2,1,7,3,7,3,2,7,8,3,8,4,8,5,3,7,7,3,6,5,5,8,4,6,1,4,6,7,7
118,2,8,5,5,7,2,5,2,5,7,1,4,7,3,6,3,3,2,1,1,8,7,4,4,6,5,3,4,6,1,3,1,1,8,8,5,1,6,3,1
119,4,7,3,6,3,7,3,4,8,8,2,8,3,7,1,8,7,6,6,8,5,8,2,2,8,4,3,2,3,7,8,3,3,6,8,6,8,4,2,1
120,6,4,8,5,2,3,7,2,4,6,2,8,8,7,3,6,4,1,6,2,5,3,8,3,8,2,3,4,8,7,6,5,8,3,7,1,6,4,8,2
121,8,7,4,8,1,2,3,8,3,8,4,7,7,8,5,6,6,5,4,8,8,5,4,6,5,6,1,2,6,3,8,7,8,7,3,5,6,3,8,8
122,1,3,3,5,4,5,1,1,4,6,1,7,6,1,3,5,6,8,4,8,7,8,3,7,5,8,7,3,3,5,6,3,1,4,3,8,4,4,1,5
123,6,8,3,6,1,3,3,6,3,5,1,5,7,5,3,6,7,7,5,1,4,3,1,3,5,1,1,8,1,8,2,2,6,1,3,6,3,7,1,4
124,4,3,2,7,5,4,3,7,6,7,6,8,7,6,2,2,6,7,6,3,7,4,1,4,2,1,1,4,7,6,1,7,7,8,3,7,5,7,5,7
125,5,1,8,6,3,3,8,1,2,2,6,5,8,5,4,4,4,8,6,1,8,7,2,7,5,1,3,3,5,5,3,5,4,5,3,8,7,1,1,3
126,8,8,3,8,1,1,3,2,6,4,1,5,7,2,6,1,5,5,6,8,1,3,4,7,2,2,2,4,5,6,6,2,6,5,4,8,3,2,8,1
127,1,8,6,6,5,8,3,4,6,3,3,3,7,7,7,7,4,6,6,3,8,5,5,2,6,4,3,4,2,6,4,3,6,5,7,5,5,5,2,5
128,5,7,4,5,4,2,6,3,3,6,7,2,2,6,7,5,5,4,1,8,1,6,8,1,3,8,5,7,5,6,7,1,8,1,5,8,1,4,6,7
129,8,8,7,6,5,7,3,3,6,2,2,3,3,3,7,7,5,4,5,8,1,4,6,8,1,4,1,1,4,3,6,2,1,3,2,8,1,4,7,4
130,7,8,5,2,2,3,3,8,6,1,5,3,5,4,1,6,5,2,7,6,6,7,7,1,4,5,8,6,3,4,2,8,5,6,8,1,4,5,5,3
131,5,7,4,2,3,4,5,6,8,7,1,6,4,3,8,8,5,3,4,4,1,8,4,3,4,5,1,4,2,1,6,4,6,1,5,8,1,1,2,2
132,1,8,1,1,5,6,1,1,8,7,4,1,5,2,3,5,5,3,7,8,4,6,1,7,6,8,7,1,3,8,7,8,5,6,6,5,5,1,3,7
133,5,6,7,7,6,8,1,6,2,5,6,5,8,4,7,6,6,2,4,1,3,1,6,1,5,8,3,8,3,5,7,4,7,5,7,7,2,1,5,8
134,7,8,4,1,7,4,8,3,4,8,7,1,3,1,5,6,5,2,8,7,8,3,5,6,3,1,7,8,1,4,3,1,4,7,4,2,2,2,5,5
135,2,8,4,3,2,8,3,8,8,3,4,5,6,3,1,7,3,2,3,6,2,8,7,5,1,8,1,5,4,3,2,3,7,3,4,8,5,6,7,6
136,3,5,8,6,2,1,7,6,5,3,3,6,4,4,5,4,3,7,3,6,7,3,2,5,6,2,3,3,2,3,6,6,6,3,2,8,5,3,3,6
137,5,6,8,7,7,6,1,8,8,8,8,7,3,2,6,1,3,2,3,6,3,5,8,4,6,1,5,2,3,6,2,3,8,2,7,1,8,7,7,7
138,6,2,7,3,8,3,5,5,6,5,1,6,1,5,8,7,3,7,8,5,3,7,4,1,2,7,3,1,2,6,5,5,8,8,4,8,5,7,5,2
139,2,7,3,4,2,1,8,8,7,5,4,8,3,4,6,8,1,8,4,7,2,8,5,4,5,5,2,4,3,2,5,2,5,8,2,6,6,6,7,6
140,1,7,2,8,4,1,5,1,2,1,5,4,6,1,5,5,8,7,5,3,4,3,2,3,6,3,4,1,5,5,6,2,7,2,4,8,4,7,3,4
141,7,7,3,6,3,1,5,1,8,6,2,7,1,7,5,7,4,8,3,4,1,6,2,6,6,3,5,8,1,5,5,1,7,1,8,5,2,7,4,7
142,1,3,4,4,5,2,1,4,2,1,3,3,6,7,5,5,3,1,4,3,3,1,6,2,2,7,8,5,4,6,3,5,6,8,1,1,2,5,3,2
143,8,5,7,6,2,3,3,6,1,1,2,7,8,6,4,7,3,1,7,6,4,1,2,4,3,7,6,7,3,4,3,3,8,4,6,7,5,8,4,1
144,4,8,1,1,6,1,6,8,4,6,1,1,3,5,7,2,4,5,1,6,7,3,6,3,6,8,7,1,7,8,1,1,2,3,4,7,8,7,2,3
145,8,3,8,7,7,4,7,8,1,4,6,6,7,6,5,5,2,8,8,5,8,3,4,8,5,8,1,3,6,4,2,8,8,7,1,2,3,4,1,5
146,1,7,2,5,1,6,8,4,3,7,5,8,1,1,2,4,4,7,4,2,4,1,3,3,4,5,1,4,1,2,3,6,6,1,8,5,7,4,1,1
147,8,2,8,5,1,3,5,4,5,1,2,1,2,4,5,5,6,4,6,7,3,4,2,3,5,6,1,5,7,8,7,5,6,6,2,3,2,1,4,8
148,6,3,2,4,4,7,8,4,7,8,3,4,1,2,6,7,8,4,1,4,2,7,1,7,3,7,6,1,6,4,6,2,1,8,5,1,4,5,2,2
149,6,2,7,2,8,7,5,7,2,6,4,1,5,2,7,5,3,1,4,3,3,3,4,7,2,3,2,1,1,4,8,3,3,8,2,8,7,1,2,7
150,8,5,5,1,2,1,1,5,5,4,5,4,2,6,4,1,7,3,1,3,1,8,5,2,6,7,1,6,6,6,1,1,6,3,2,1,5,4,6,7
151,2,5,7,6,7,3,4,1,7,1,7,7,5,8,4,7,7,2,4,1,2,8,4,3,1,7,2,3,4,4,4,4,5,4,3,8,2,7,3,7
152,8,7,4,2,2,2,5,1,6,3,3,5,2,4,7,8,7,4,2,2,7,5,5,1,1,6,2,8,3,5,1,2,7,8,7,7,4,3,1,2
153,5,7,5,3,5,7,4,7,2,2,4,6,3,4,4,2,1,4,7,8,5,1,6,7,7,8,1,4,4,5,4,1,2,8,6,4,4,7,6,4
154,5,7,8,3,2,6,8,8,7,6,7,1,5,4,4,2,6,1,4,8,3,2,4,8,1,7,4,8,3,1,3,2,6,3,3,3,6,7,6,5
155,8,3,4,4,7,4,6,4,2,2,1,2,2,1,1,1,4,2,4,5,6,8,6,1,7,3,6,6,2,3,3,4,6,8,5,8,6,7,4,5
156,1,3,4,6,6,8,8,2,7,6,3,4,4,6,6,4,5,4,4,2,8,6,3,2,7,6,2,4,8,6,8,4,4,4,2,3,7,7,8,2
157,2,5,6,6,2,3,5,5,1,5,1,4,5,4,7,8,5,3,5,1,7,2,2,2,8,8,7,6,5,7,1,6,7,6,1,2,6,4,6,4
158,3,5,3,5,7,5,8,1,3,7,3,6,1,8,8,5,2,6,4,2,7,1,2,3,5,8,4,4,4,8,8,5,1,6,2,3,6,7,4,7
159,7,8,4,8,5,6,8,4,7,5,4,3,8,1,4,8,8,6,4,1,8,3,4,1,1,1,2,1,3,1,4,4,1,7,3,1,2,4,4,8
160,4,1,1,2,8,2,6,3,8,7,4,5,5,1,4,2,5,3,6,4,5,1,6,3,5,3,6,1,3,6,6,7,1,4,8,6,1,4,6,8
161,5,8,5,8,2,5,3,1,8,3,8,2,7,8,4,8,7,7,5,6,4,2,7,2,5,6,5,6,2,5,8,1,2,2,5,1,3,3,2,3
162,8,2,5,3,6,8,1,3,6,4,3,7,2,2,5,8,1,2,4,4,7,6,2,6,3,7,7,4,1,7,3,6,7,8,8,3,5,3,1,5
163,3,4,3,3,3,3,3,3,6,5,7,2,1,3,4,4,4,8,6,6,3,4,7,3,2,3,5,1,5,4,6,8,2,6,8,7,2,7,6,1
164,4,3,7,6,8,5,8,1,8,6,3,4,5,1,7,5,7,6,3,6,8,5,4,7,7,6,4,5,8,4,2,5,1,8,2,2,8,8,3,8
165,8,7,5,3,6,1,7,7,7,5,6,1,5,7,6,6,3,7,3,8,3,6,3,3,2,3,6,1,5,3,6,5,2,5,4,1,5,8,7,3
166,2,2,5,6,4,7,7,6,5,4,4,4,7,5,3,1,2,5,3,1,2,6,1,1,5,6,8,7,2,2,4,4,6,1,6,6,1,6,8,5
