,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
23,3,2,1,5,3,2,5,5,4,5,3,1,3,1,3,4,1,3,3,4,5,4,5,1,1,4,2,3,3,2,1,5,4,4,4,5,3,5,4,2
24,4,3,5,4,5,3,4,2,1,2,3,3,2,2,1,3,2,1,2,5,4,5,3,2,1,2,4,5,2,3,5,4,4,3,1,3,3,4,1,3
25,5,3,1,5,4,2,1,3,2,3,4,5,5,4,4,3,1,5,2,4,2,3,5,1,4,2,1,4,5,5,3,1,3,3,3,1,2,1,1,1
26,4,5,3,1,5,3,1,4,3,4,3,4,3,2,1,2,3,3,4,2,4,4,1,1,1,2,4,3,2,2,3,4,3,1,2,4,1,1,5,3
27,5,5,4,3,5,4,1,4,4,3,1,2,1,1,1,3,4,2,5,1,4,2,1,1,1,5,2,2,5,5,5,2,4,2,3,3,1,3,4,5
28,2,1,2,4,2,5,3,3,4,2,4,3,4,4,1,1,1,4,3,1,5,1,1,4,2,2,3,2,1,3,3,2,3,2,5,5,2,5,3,4
29,3,2,2,3,2,2,2,1,2,2,3,3,2,2,4,3,1,4,3,5,3,2,2,1,3,4,2,1,5,5,2,1,4,3,1,4,3,1,4,2
30,2,2,1,2,4,2,3,5,5,4,5,5,1,3,1,5,2,3,5,1,1,1,4,1,2,5,4,4,4,1,5,3,1,3,5,5,1,2,4,4
31,4,4,3,4,1,3,1,2,4,5,3,1,4,1,1,2,5,3,5,5,1,5,4,4,2,3,1,4,5,3,4,3,3,1,5,3,1,1,3,1
32,2,5,2,5,3,3,5,1,4,4,5,4,3,1,5,2,4,3,2,2,5,3,1,1,5,1,3,3,1,3,2,1,1,4,4,1,4,4,1,2
33,3,2,1,2,3,2,2,5,2,5,3,3,1,1,5,4,2,4,1,1,1,2,4,4,1,4,3,1,1,4,2,2,3,3,1,3,5,4,1,4
34,2,3,1,2,1,2,1,2,2,3,5,1,5,2,4,2,5,3,5,3,1,1,5,4,3,5,5,1,2,4,2,5,2,5,4,4,1,5,5,2
35,2,5,5,1,5,3,3,5,2,1,3,3,5,2,5,4,3,1,2,2,2,4,2,1,4,4,5,4,3,4,3,3,3,5,3,1,1,3,3,3
36,1,1,1,1,5,4,4,1,2,1,2,2,2,3,3,2,3,1,4,3,2,1,5,4,1,4,3,1,4,5,2,5,5,1,2,4,1,2,2,3
37,4,2,2,5,4,4,2,3,1,1,4,1,3,3,2,2,4,1,4,5,4,5,3,1,3,3,2,4,2,2,2,4,1,5,4,1,2,1,1,3
38,5,2,1,5,3,4,1,4,4,2,5,3,1,2,1,4,5,3,3,2,2,1,5,1,1,2,1,5,3,3,3,5,3,1,4,2,2,1,4,4
39,1,5,4,3,5,4,4,5,4,4,1,2,1,2,1,4,4,1,5,4,1,1,2,3,3,4,1,5,2,5,4,4,2,5,4,1,4,4,5,2
40,1,5,5,4,1,5,5,4,4,2,2,2,2,2,5,1,4,4,4,2,4,4,3,1,3,2,5,4,3,5,4,3,2,1,4,5,4,5,1,1
41,5,3,3,5,5,3,1,5,5,1,1,3,5,5,2,1,2,4,1,3,2,2,2,4,2,2,4,4,1,1,2,4,2,2,3,4,3,1,3,3
42,2,2,5,5,4,1,4,3,2,5,3,4,5,5,1,2,1,1,5,3,2,1,4,3,2,3,1,1,5,2,1,3,4,4,5,2,2,5,2,3
43,1,2,1,4,4,5,5,2,3,4,1,1,3,4,4,3,2,3,2,3,3,1,1,2,1,5,3,2,3,2,1,4,5,5,1,1,5,2,4,5
44,2,4,5,2,5,2,1,4,2,2,4,4,5,1,4,1,1,4,2,4,3,5,4,4,2,3,2,3,1,2,3,3,4,5,3,4,2,2,5,4
45,3,3,4,3,2,3,5,1,2,3,2,3,4,4,5,1,3,5,2,2,5,1,4,4,3,1,2,4,3,1,1,3,3,3,2,4,3,4,2,5
46,2,4,2,2,4,5,3,2,1,1,4,2,1,2,4,5,4,5,3,4,5,1,3,1,4,3,2,4,2,3,4,3,3,2,1,1,1,2,1,3
47,5,2,1,3,1,4,4,5,2,4,5,5,2,3,3,3,2,3,2,5,3,3,2,1,3,1,2,5,4,5,5,5,5,5,4,2,3,4,3,2
48,3,1,2,2,2,1,2,5,1,5,3,5,3,4,5,3,1,1,4,3,2,4,2,1,1,1,4,3,2,1,3,1,1,2,2,1,1,1,2,5
49,5,3,4,1,3,2,3,4,1,2,3,2,1,4,3,5,4,2,2,5,2,3,4,5,3,1,3,4,4,5,3,2,4,3,2,1,2,5,3,3
50,4,2,3,1,5,1,1,4,1,3,4,3,5,3,1,5,1,1,1,1,5,4,1,4,4,3,4,1,3,2,5,1,5,4,1,4,5,3,4,1
51,5,4,5,4,3,3,5,1,2,4,4,2,2,5,1,3,2,2,1,4,3,3,2,1,1,1,3,4,4,4,5,3,5,1,3,5,2,4,5,1
52,4,5,1,2,3,3,1,2,4,4,1,4,2,3,1,3,3,4,5,3,3,4,3,4,5,3,2,3,1,1,4,2,3,2,1,5,3,4,3,2
53,2,5,5,4,1,3,2,4,3,3,2,1,3,5,4,3,5,4,4,4,3,3,2,2,4,2,5,3,2,4,1,3,1,2,2,5,4,2,1,5
54,5,2,3,1,2,2,4,1,3,3,3,5,2,2,1,3,3,2,3,4,4,4,2,3,3,4,2,1,5,4,1,3,1,2,1,1,1,4,1,2
55,3,4,2,4,1,1,1,1,2,2,1,2,3,3,3,1,1,3,5,3,4,5,4,1,3,2,4,5,2,1,3,3,1,1,4,4,2,1,4,1
56,3,4,3,4,4,2,2,1,2,4,4,3,2,2,5,4,3,3,4,2,4,1,3,3,4,3,2,2,5,5,3,4,3,4,5,1,2,1,2,3
57,1,1,2,5,5,4,4,3,1,3,5,4,5,3,5,2,1,2,3,3,5,1,5,2,2,4,2,5,5,2,2,4,5,2,1,2,5,1,1,5
58,3,4,3,5,5,1,2,2,4,1,1,3,4,1,3,2,4,5,5,5,4,4,3,1,3,2,4,2,5,1,1,5,4,5,2,2,1,3,5,4
59,4,2,3,4,3,2,4,2,1,1,5,4,2,5,2,1,3,2,4,2,1,5,4,4,4,4,2,5,4,1,4,2,5,1,1,4,2,5,4,2
60,4,4,4,2,5,1,3,3,3,1,2,2,5,1,1,4,2,1,5,5,4,2,5,5,3,5,1,3,3,4,4,5,1,2,4,5,1,1,4,5
61,4,2,3,5,1,1,2,1,4,3,1,5,1,3,2,4,2,2,2,5,5,3,4,5,1,1,2,1,4,1,4,3,3,1,2,3,2,5,4,4
62,3,5,2,1,1,4,4,1,4,4,3,1,3,5,4,1,4,4,3,2,2,4,5,5,1,4,3,3,4,1,5,4,1,5,3,4,1,2,5,2
63,2,2,5,3,4,2,2,1,1,5,4,2,5,5,5,2,1,2,4,2,2,4,4,4,5,1,4,3,4,4,5,2,3,3,5,3,2,4,5,3
64,2,3,3,3,5,3,2,1,1,2,1,4,3,1,1,5,3,3,5,2,5,5,3,1,1,3,5,4,5,3,4,3,3,3,4,3,1,1,1,5
65,1,4,3,3,3,4,3,3,1,2,4,2,4,4,2,3,1,5,2,4,5,5,4,1,3,5,3,5,1,2,5,2,2,2,4,3,2,2,1,2
66,5,3,2,5,4,1,2,2,3,3,2,4,5,1,5,5,5,1,1,2,4,1,5,5,3,2,1,1,5,5,3,3,2,4,4,1,5,4,5,1
67,1,4,2,4,2,1,1,2,2,5,5,2,4,3,3,1,4,3,5,5,3,2,4,3,3,4,4,3,5,2,3,3,2,3,3,1,2,2,2,1
68,3,5,4,4,3,4,2,5,5,2,2,2,3,3,3,5,4,4,1,4,5,2,2,4,1,3,3,4,1,3,2,2,1,4,3,4,1,1,1,5
69,3,3,5,2,5,3,2,4,2,1,3,5,1,5,2,5,5,4,5,3,5,5,4,1,5,3,3,1,2,2,1,5,3,4,1,5,4,2,1,5
70,5,1,1,3,3,3,4,5,1,3,1,4,1,2,4,1,2,4,2,2,3,3,4,1,4,4,3,1,2,4,5,5,5,5,2,1,4,2,5,3
71,4,4,2,3,5,1,2,1,4,1,1,1,1,3,4,4,2,4,3,4,4,4,3,3,4,1,3,4,4,2,3,1,1,2,5,2,3,2,1,3
72,2,4,1,1,5,1,3,2,1,4,3,2,4,4,3,5,3,2,4,1,1,3,2,5,2,2,5,5,1,1,5,1,1,3,2,5,3,2,2,5
73,3,2,4,3,1,1,2,5,2,5,4,4,3,3,3,2,3,5,5,2,4,1,2,5,4,1,1,2,4,4,2,2,2,1,5,2,3,3,3,4
74,4,3,3,2,5,3,2,1,1,5,5,3,5,3,1,1,5,4,5,1,1,4,2,5,1,5,4,4,2,4,2,3,1,5,4,5,1,1,5,3
75,1,5,1,2,5,3,1,4,3,5,3,2,3,2,3,4,1,1,3,3,3,1,1,4,1,3,1,4,1,5,4,3,2,4,5,3,5,5,2,3
76,5,5,4,2,2,2,5,4,4,3,4,1,2,2,1,5,5,4,5,4,4,2,2,4,4,1,4,5,4,3,2,2,4,5,2,2,3,2,1,2
77,1,3,2,5,3,1,2,2,1,1,1,2,5,1,2,4,4,1,2,4,5,1,1,1,3,5,2,5,2,1,4,4,3,3,4,4,4,1,4,2
78,2,5,4,1,1,4,3,3,4,2,4,2,1,4,4,1,1,4,4,2,5,5,1,1,3,3,2,5,5,2,3,1,2,4,3,3,1,2,1,3
79,4,4,4,3,2,3,5,3,5,5,3,1,5,2,5,1,4,5,1,4,5,2,1,3,3,3,5,2,2,3,4,5,3,3,3,4,5,4,4,4
80,1,2,4,5,1,1,2,5,2,1,3,1,5,2,5,2,4,2,1,3,5,1,1,4,4,2,2,3,3,2,3,2,1,4,3,2,3,3,3,3
81,3,2,4,3,3,3,2,4,2,4,1,4,5,5,2,2,1,1,1,2,1,5,4,2,3,5,1,4,2,4,2,4,2,4,4,3,2,1,3,3
82,1,2,3,3,1,1,3,3,4,5,2,5,4,4,2,1,1,4,2,4,1,4,5,3,5,3,1,4,5,4,1,1,4,3,4,5,2,3,3,1
83,3,3,3,2,4,2,4,3,4,5,2,2,3,2,1,1,3,2,4,3,3,3,1,3,4,4,3,5,1,2,5,2,3,4,4,1,1,1,3,2
84,5,2,4,2,5,5,1,2,4,3,5,3,4,5,5,3,5,1,2,4,3,2,1,5,5,4,2,4,1,4,3,2,1,5,4,4,3,3,2,1
85,1,1,3,4,2,3,4,3,4,5,4,5,4,3,4,4,2,2,2,4,2,4,1,4,4,2,4,1,4,2,1,4,5,4,1,5,3,3,4,3
86,3,4,3,1,4,4,5,4,4,4,1,5,3,5,2,2,3,1,4,3,4,2,1,5,4,1,1,4,4,4,3,3,4,2,3,3,4,1,2,1
87,3,4,4,5,2,1,5,3,1,4,5,5,1,3,5,1,3,5,3,3,2,3,1,3,1,5,5,2,3,4,3,3,4,2,4,3,1,3,2,5
88,2,1,3,5,2,1,2,5,1,3,5,4,4,3,2,2,2,3,4,4,1,5,3,4,5,1,1,3,1,4,1,4,5,3,5,5,5,5,5,5
89,3,5,5,1,1,1,4,4,4,2,4,1,1,2,4,2,5,4,4,2,4,5,5,2,5,4,1,5,5,3,4,5,4,1,2,2,4,4,5,3
90,5,2,3,4,5,4,1,4,3,1,5,4,3,1,3,5,2,1,5,3,1,1,2,5,3,5,5,2,3,5,4,2,2,3,1,2,5,1,5,1
91,2,5,5,3,1,3,2,1,2,3,4,3,1,3,3,5,1,2,1,2,2,3,4,4,3,3,5,2,3,4,1,3,2,3,2,1,5,3,1,5
92,1,2,1,1,1,3,4,4,4,5,4,3,3,3,4,3,5,5,4,4,2,1,3,3,2,2,4,2,1,1,4,1,1,2,3,5,5,5,3,1
93,1,2,1,4,3,4,1,1,2,3,4,1,5,1,1,2,4,3,5,3,2,3,3,1,5,1,5,5,5,2,1,4,4,4,1,2,2,1,4,5
94,1,1,1,1,3,1,1,5,1,4,4,1,3,3,1,1,1,3,2,4,3,2,4,4,3,5,5,1,3,5,1,4,2,1,4,5,1,3,5,1
95,4,2,2,5,3,5,2,2,4,3,4,3,2,3,1,2,2,4,3,2,1,3,2,1,5,3,1,1,3,2,4,1,3,2,2,3,2,2,3,1
96,4,3,4,5,3,4,5,1,2,1,1,5,4,3,3,3,3,1,5,4,4,2,1,5,1,3,3,2,5,3,5,4,2,1,4,1,1,3,2,2
97,1,3,2,1,2,4,1,4,2,2,5,4,2,4,3,2,1,1,2,2,4,3,1,4,3,1,3,1,5,3,5,4,3,2,3,3,1,1,3,2
98,1,2,4,5,5,4,4,3,2,4,5,1,2,1,2,1,5,3,3,4,4,2,5,4,5,4,3,3,1,1,2,3,2,4,3,2,4,4,5,1
99,1,4,2,5,2,4,3,4,4,3,2,4,5,5,4,3,5,1,4,4,1,5,1,5,3,4,3,3,1,3,1,2,1,4,4,2,4,1,1,5
